"id_historico_op_ob","data_hora_historico_op","historico_situacao_op","descricao_historico_situacao_op","id_op_ob"
157326,"2025-09-11T18:56:33.833385",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",43142
158943,"2025-09-11T20:29:58.483031",4,"OP Assinada mas sem OB gerada",43142
159671,"2025-09-12T08:29:59.802645",5,"OB Enviada à instituição bancária para pagamento",43142
161908,"2025-09-29T18:27:55.048297",1,"Aguardando Envio para o SIAFI",43584
162562,"2025-09-29T19:03:51.467492",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",43584
148383,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",41336
151083,"2025-09-09T11:51:47.496855",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",41336
151768,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",41336
146225,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",39178
148925,"2025-09-09T09:51:37.313561",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",39178
152409,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",39178
155112,"2025-09-11T16:46:49.075998",1,"Aguardando Envio para o SIAFI",42567
156751,"2025-09-11T17:56:03.86608",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",42567
158553,"2025-09-11T19:29:58.484677",4,"OP Assinada mas sem OB gerada",42567
160473,"2025-09-12T08:29:59.802645",5,"OB Enviada à instituição bancária para pagamento",42567
155117,"2025-09-11T16:46:49.075998",1,"Aguardando Envio para o SIAFI",42572
